priority,offset_s,latency_ms,status,outcome
low,29.4209,1.76,,error
medium,21.9026,7524.66,429,shed
medium,29.4336,2.96,,error
low,29.4407,3.93,,error
high,29.4508,5.40,,error
medium,29.4527,3.78,,error
low,29.4534,3.37,,error
medium,20.4176,9041.17,200,ok
medium,29.4670,3.60,,error
low,29.4707,2.44,,error
low,21.4803,7993.56,429,shed
low,29.4814,5.38,,error
low,29.4902,2.36,,error
medium,29.5028,3.76,,error
low,29.5038,3.07,,error
high,29.5007,6.46,,error
medium,21.9342,7574.73,429,shed
medium,29.5179,3.65,,error
low,29.5215,2.86,,error
low,21.5214,8006.89,429,shed
medium,29.5335,3.40,,error
medium,21.9527,7585.37,429,shed
medium,21.9669,7579.48,429,shed
low,21.5406,8014.76,429,shed
high,29.5506,6.10,,error
low,29.5603,2.80,,error
medium,21.3835,8181.34,429,shed
medium,21.4030,8161.79,429,shed
low,3.4808,26084.03,200,ok
medium,21.9835,7605.84,429,shed
medium,19.6532,9938.73,200,ok
low,21.5610,8031.00,429,shed
medium,19.6840,9908.02,200,ok
medium,22.0027,7592.90,429,shed
medium,19.9844,9615.82,200,ok
low,18.2707,11329.64,200,ok
low,17.1652,12435.20,200,ok
medium,19.7169,9883.51,200,ok
medium,20.0527,9547.64,200,ok
low,17.2807,12324.96,200,ok
low,3.9712,25665.68,200,ok
medium,20.1526,9485.53,200,ok
low,18.3109,11327.26,200,ok
low,19.7026,9936.64,429,shed
medium,29.6671,3.91,,error
low,29.6710,2.75,,error
low,29.6810,3.07,,error
medium,29.6841,3.17,,error
low,29.6904,3.21,,error
low,3.6604,26037.84,200,ok
low,3.8609,25838.30,200,ok
high,21.5003,8199.29,429,shed
medium,21.4678,8232.39,429,shed
medium,20.2169,9497.76,200,ok
low,29.7206,2.07,,error
medium,29.7335,3.14,,error
low,29.7312,5.75,,error
low,18.5712,11167.63,200,ok
medium,22.0349,7707.89,429,shed
medium,22.0168,7726.79,429,shed
medium,20.7529,8991.12,200,ok
low,4.0202,25730.23,200,ok
low,19.9209,9833.90,429,shed
low,3.8105,25944.33,200,ok
medium,21.5345,8233.97,429,shed
low,21.5820,8204.98,429,shed
low,21.6213,8165.65,429,shed
medium,20.7864,9001.54,200,ok
medium,20.6525,9135.46,200,ok
low,20.2202,9585.79,429,shed
low,21.6906,8124.07,429,shed
low,21.6817,8133.01,429,shed
low,21.7305,8086.29,429,shed
low,21.7205,8096.36,429,shed
low,21.6521,8164.75,429,shed
low,4.0321,25785.57,200,ok
medium,21.5838,8233.88,429,shed
low,21.7607,8065.46,429,shed
medium,22.0842,7742.87,429,shed
low,17.4769,12355.95,200,ok
low,4.0529,25783.88,200,ok
low,19.9808,9858.22,429,shed
low,21.8807,7963.39,429,shed
medium,19.7844,10059.71,429,shed
medium,22.0672,7880.61,429,shed
medium,19.6017,10346.22,200,ok
low,20.3402,9607.69,429,shed
medium,19.5683,10379.58,200,ok
low,20.5412,9406.78,429,shed
high,20.6002,9347.75,200,ok
high,20.9198,9028.20,200,ok
low,19.1805,10767.53,200,ok
low,18.7132,11234.86,200,ok
low,21.9909,7957.17,429,shed
medium,22.1169,7831.13,429,shed
medium,22.1336,7844.14,429,shed
low,22.0112,7966.51,429,shed
low,22.0208,7957.00,429,shed
medium,19.3127,10665.04,200,ok
low,21.3106,8667.21,429,shed
low,21.3413,8636.54,429,shed
low,22.0312,7946.58,429,shed
low,22.0413,7936.60,429,shed
high,22.1510,7826.90,429,shed
low,20.2806,9701.40,429,shed
high,21.4503,8544.42,200,ok
low,18.7304,11264.31,200,ok
medium,22.1845,7812.58,429,shed
high,21.5510,8465.77,200,ok
medium,21.6515,8365.29,200,ok
low,19.3809,10635.89,200,ok
medium,22.2028,7821.26,429,shed
low,22.0034,8105.84,429,shed
low,22.0541,8055.32,429,shed
low,18.2607,11848.81,200,ok
low,18.1611,11948.35,200,ok
low,22.0809,8028.61,429,shed
low,17.8441,12267.73,200,ok
low,17.5902,12521.62,200,ok
medium,20.3176,9794.24,200,ok
low,18.2907,11830.94,200,ok
medium,20.1344,9987.23,200,ok
high,20.2031,9923.93,200,ok
low,4.3609,25770.37,200,ok
medium,22.2668,7864.41,429,shed
medium,20.2035,9927.74,200,ok
medium,20.2357,9895.56,200,ok
medium,21.7886,8342.68,200,ok
low,19.4202,10711.14,200,ok
high,30.1166,15.30,,error
low,30.1127,19.88,,error
low,30.1250,7.91,,error
low,30.1542,1.85,,error
low,21.6029,8561.79,429,shed
low,30.1607,4.37,,error
medium,21.8838,8283.15,429,shed
low,4.2603,25913.39,200,ok
medium,30.1839,3.12,,error
low,30.1905,3.46,,error
medium,30.2034,3.14,,error
low,30.2044,2.44,,error
high,30.2013,5.91,,error
low,30.2103,2.34,,error
low,21.6111,8604.17,429,shed
low,21.6412,8574.46,429,shed
high,20.3512,9868.40,200,ok
medium,22.2179,8001.81,429,shed
low,30.2410,2.60,,error
low,4.2033,26047.48,200,ok
high,19.2011,11051.66,200,ok
medium,19.1669,11085.82,200,ok
high,21.7512,8501.51,429,shed
low,3.4704,26786.05,200,ok
medium,22.3335,7924.29,429,shed
low,4.4618,25795.99,200,ok
low,20.3909,9872.76,429,shed
low,20.4310,9838.78,429,shed
medium,22.3669,7903.71,429,shed
low,6.0961,24174.52,200,ok
low,21.6701,8602.79,429,shed
medium,19.2028,11074.32,200,ok
medium,21.8336,8443.56,429,shed
high,19.5503,10727.81,200,ok
low,20.4973,9780.89,429,shed
low,21.6609,8617.75,429,shed
medium,19.5168,10768.96,200,ok
low,20.5204,9775.90,429,shed
low,20.9406,9355.64,429,shed
low,20.9915,9309.37,429,shed
low,21.0312,9269.66,429,shed
low,21.0507,9250.17,429,shed
low,21.7703,8537.48,429,shed
low,21.7040,8603.72,429,shed
low,3.3810,26926.81,200,ok
medium,21.8669,8440.87,429,shed
low,21.7808,8527.05,429,shed
high,22.4492,7858.60,429,shed
low,17.9184,12397.23,200,ok
medium,19.5514,10765.17,200,ok
low,17.9179,12402.64,200,ok
low,21.8204,8503.88,429,shed
low,21.8708,8454.57,429,shed
low,21.8308,8495.42,429,shed
low,22.3209,8006.51,429,shed
low,21.8408,8486.54,429,shed
low,21.8531,8474.31,429,shed
high,19.8507,10484.89,200,ok
high,18.9007,11436.27,200,ok
high,21.9009,8442.64,429,shed
low,18.0103,12333.84,200,ok
low,19.6709,10684.10,429,shed
medium,22.4853,7869.75,429,shed
medium,22.1672,8189.32,429,shed
